index,card,v1,colors,group,icon,petitioner,respondent,altTitle,winner,term,docket,consolidated,scdb,citation,lba,oxford,timeplots,author,majority,minority,argued,decided,category,issue,legalBasis,legalIssue,overruled,overruledBy,quote,quotee,briefs,audio,transcripts,opinion,oyez,wikipedia,conlaw.us,cspan,justices,justiceIDs,dissented,recused
142,N,,,,,,,The Pocket Veto Case,respondent,October Term 1928,565,,1928-082,279 U.S. 655,26,,,Edward Sanford,9,0,1929-03-11,1929-05-27,Civil Rights,,No Legal Provision,Indians (other than pertains to state jurisdiction over),,,,,,,,,,"https://en.wikipedia.org/wiki/Pocket_Veto_Case",,,"William Taft,Oliver Holmes,Willis Van Devanter,James McReynolds,Louis Brandeis,George Sutherland,Pierce Butler,Edward Sanford,Harlan Stone",,,
143,N,,,,,Baldwin,Missouri,,respondent,October Term 1929,417,,1929-103,281 U.S. 586,26,,,James McReynolds,5,3,1930-04-23,1930-05-26,Economic Activity,,State or Local Law Regulation,state or local government tax,,,,,,,,,,,,,"Charles Hughes,Willis Van Devanter,James McReynolds,George Sutherland,Pierce Butler",,"Oliver Holmes,Louis Brandeis,Harlan Stone",
144,,,,,,"O'Gorman & Young, Inc.",Hartford Fire Insurance Co.,,respondent,October Term 1930,12,,1930-161,282 U.S. 251,,,,Louis Brandeis,5,4,"1930-04-30,1930-10-30",1931-01-05,Economic Activity,,State or Local Law Regulation,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",,,,,,,,,,"https://en.wikipedia.org/wiki/O%27Gorman_%26_Young,_Inc._v._Hartford_Fire_Insurance_Co.","https://conlaw.us/case/ogorman-young-inc-v-hartford-fire-insurance-co-1931/",,"Charles Hughes,Oliver Holmes,Louis Brandeis,Harlan Stone,Owen Roberts","67,58,62,73,74","Willis Van Devanter,James McReynolds,George Sutherland,Pierce Butler",
145,072,18,3,1S,,Stromberg,California,,respondent,October Term 1930,584,,1930-059,283 U.S. 359,,296,,Charles Hughes,7,2,1931-04-15,1931-05-18,First Amendment,State Law Restricting Symbolic Speech,"1st Amendment (speech, press, and assembly)","1st Amendment, miscellaneous (cf. comity: First Amendment)",,,"""A statute which upon its face…is so vague and indefinite as to permit the punishment of the fair use of this opportunity is repugnant to the guaranty of liberty contained in the Fourteenth Amendment.""",Chief Justice Charles Hughes,"https://lonedissent.org/briefs/featured/stromberg-v-people-of-state-of-california",,,,"https://www.oyez.org/cases/1900-1940/283us359","https://en.wikipedia.org/wiki/Stromberg_v._California","https://conlaw.us/case/stromberg-v-california-1931/",,"Charles Hughes,Oliver Holmes,Willis Van Devanter,Louis Brandeis,George Sutherland,Harlan Stone,Owen Roberts","62,58,63,67,70,73,74","James McReynolds,Pierce Butler",
146,,,,,,Near,Minnesota,,respondent,October Term 1930,91,,1930-084,283 U.S. 697,26,,,Charles Hughes,5,4,1930-01-30,1931-06-01,First Amendment,,"1st Amendment (speech, press, and assembly)","libel, defamation: defamation of public officials and public and private persons",,,,,"https://lonedissent.org/briefs/featured/near-v-minnesota-ex-rel-olson",,,,"https://www.oyez.org/cases/1900-1940/283us697","https://en.wikipedia.org/wiki/Near_v._Minnesota",,,"Charles Hughes,Oliver Holmes,Louis Brandeis,Harlan Stone,Owen Roberts","62,58,67,73,74","Willis Van Devanter,James McReynolds,George Sutherland,Pierce Butler",
147,,,,,,Nixon,Condon,,respondent,October Term 1931,265,,1931-060,286 U.S. 73,27,,,Benjamin Cardozo,5,4,1932-01-07,1932-05-02,Civil Rights,,14th Amendment (equal protection),voting,,,,,"https://lonedissent.org/briefs/featured/nixon-v-condon",,,,"https://www.oyez.org/cases/1900-1940/286us73","https://en.wikipedia.org/wiki/Nixon_v._Condon",,,"Charles Hughes,Louis Brandeis,Harlan Stone,Owen Roberts,Benjamin Cardozo","75,62,67,73,74","Willis Van Devanter,James McReynolds,George Sutherland,Pierce Butler",
148,019,70,5,6A,,Powell,Alabama,,petitioner,October Term 1932,100,,1932-026,287 U.S. 45,27,242,,George Sutherland,7,2,1932-10-10,1932-11-07,Civil Rights,Right to Counsel in State Trials,14th Amendment (due process),"indigents: inadequate representation by counsel (cf. right to counsel)",,,"""Let us suppose the extreme case of a prisoner charged with a capital offense, who is deaf and dumb, …without assignment of counsel for his defense, tried, convicted and sentenced to death. Such a result [is] little short of judicial murder.""",Justice George Sutherland,"https://lonedissent.org/briefs/featured/powell-v-alabama",,,,"https://www.oyez.org/cases/1900-1940/287us45","https://en.wikipedia.org/wiki/Powell_v._Alabama",,,"Charles Hughes,Willis Van Devanter,Louis Brandeis,George Sutherland,Harlan Stone,Owen Roberts,Benjamin Cardozo","70,62,63,67,73,74,75","James McReynolds,Pierce Butler",
149,,,,,,Home Building & Loan,Blaisdell,,respondent,October Term 1933,370,,1933-141,290 U.S. 398,27,,,Charles Hughes,5,4,"1933-11-08,1933-11-09",1934-01-08,Civil Rights,Debtors' Rights,"Article I § 10: Contracts Clause",debtors' rights,,,"""Emergency does not create power.""",Chief Justice Charles Hughes,"https://briefs1.lonedissent.org/1933/home-building--loan-assoc-v-blaisdell",,,,"https://www.oyez.org/cases/1900-1940/290us398","https://en.wikipedia.org/wiki/Home_Building_%26_Loan_Ass%27n_v._Blaisdell",,,"Charles Hughes,Louis Brandeis,Harlan Stone,Owen Roberts,Benjamin Cardozo","62,67,73,74,75","Willis Van Devanter,James McReynolds,George Sutherland,Pierce Butler",
150,,92,,14D,,Nebbia,New York,,respondent,October Term 1933,531,,1933-145,291 U.S. 502,27,213,,Owen Roberts,5,4,"1933-12-04,1933-12-05",1934-03-05,Economic Activity,Milk Control Law of 1933,14th Amendment (due process),"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",,,"""So far as the requirement of due process is concerned, and in the absence of other constitutional restriction, a state is free to adopt whatever economic policy may reasonably be deemed to promote public welfare….""",Justice Owen Roberts,,,,,"https://www.oyez.org/cases/1900-1940/291us502","https://en.wikipedia.org/wiki/Nebbia_v._New_York","https://conlaw.us/case/nebbia-v-new-york-1933/",,"Charles Hughes,Louis Brandeis,Harlan Stone,Owen Roberts,Benjamin Cardozo","74,62,67,73,75","Willis Van Devanter,James McReynolds,George Sutherland,Pierce Butler",
151,,,,,,Panama Refining Co.,Ryan,,petitioner,October Term 1934,135,,1934-073,293 U.S. 388,28,,,Charles Hughes,8,1,1934-12-10,1935-01-07,Miscellaneous,,"Article I, Section 1 (delegation of powers)",executive authority vis-a-vis congress or the states,,,,,"https://lonedissent.org/briefs/featured/panama-refining-co-v-ryan",,,,"https://www.oyez.org/cases/1900-1940/293us388","https://en.wikipedia.org/wiki/Panama_Refining_Co._v._Ryan",,,"Charles Hughes,Willis Van Devanter,James McReynolds,Louis Brandeis,George Sutherland,Pierce Butler,Harlan Stone,Owen Roberts","62,63,66,67,70,71,73,74",Benjamin Cardozo,
